1,2,3,4,5,6
-130.205,-58.810,-31.390,-27.500,-25.715,-10.175
3.825,8.180,4.565,-2.095,3.250,-1.785
27.035,1.485,0.535,3.480,3.190,0.745
-6.535,-0.735,-1.810,3.660,-0.445,1.035
2.995,-0.060,3.105,1.005,1.335,0.420
29.090,28.700,7.685,7.060,3.480,4.700
-16.205,-3.595,-7.795,-2.185,-2.420,0.900
12.905,-21.390,7.345,-6.075,4.700,-3.560
-3.960,19.700,0.515,8.735,-4.165,1.195
3.700,-14.840,-5.305,-7.220,2.950,0.230
-27.445,12.965,-5.025,6.650,-5.460,1.405
22.170,10.450,6.560,0.845,2.495,-1.010
-3.960,-28.440,0.490,-8.920,1.020,-3.045
2.875,3.315,-2.410,-0.845,-1.705,-1.170
-1.175,12.840,2.845,9.340,2.375,6.345
4.245,-10.675,1.025,-5.755,0.270,-4.400
-10.095,12.425,-6.700,1.165,-3.130,2.345
-5.535,-12.145,0.970,-0.390,-0.195,-1.470
13.570,5.315,4.560,1.155,2.155,-0.680
1.310,9.285,1.955,4.825,2.865,5.055
-11.080,-7.675,-5.100,-4.000,-3.825,-4.295
3.135,-33.085,-1.175,-15.955,-1.550,-6.765
-0.745,34.690,2.485,16.795,3.080,9.005
14.480,2.120,4.030,0.490,1.295,-0.670
-23.915,-10.205,-7.160,-2.920,-4.460,-2.010
15.260,6.935,4.450,0.830,2.195,1.660
0.630,-1.870,-0.015,-0.870,1.440,-0.660
35.060,3.635,10.925,0.570,4.955,-2.815
-26.075,-4.510,-12.260,4.150,1.040,3.870
75.095,36.655,22.090,14.320,9.160,5.620
-164.525,-84.705,-45.085,-41.640,-38.380,-18.265
17.610,40.850,9.900,13.775,10.775,9.425
50.470,41.690,15.100,17.590,9.925,4.620
26.130,-35.685,7.610,-9.220,6.595,-5.260
-34.910,-29.140,-14.655,-6.655,-4.445,0.225
-1.060,12.570,-0.720,3.660,-2.360,0.625
50.960,59.965,15.740,15.400,4.760,4.090
-22.000,-42.380,-7.725,-11.700,-0.155,-2.060
-10.635,-16.885,-2.200,-4.465,-1.595,-1.635
13.800,-4.860,3.150,-6.045,-1.360,-7.590
-9.335,30.125,-1.550,13.160,0.905,9.060
9.485,63.810,3.350,21.250,2.255,12.145
-33.185,-114.535,-8.830,-37.945,-3.110,-17.910
15.300,32.215,2.845,9.700,-0.370,1.425
6.385,28.225,1.670,12.210,-0.430,8.075
5.460,-45.255,-1.845,-22.695,1.610,-9.540
5.385,22.350,1.210,7.370,-1.370,-0.130
-16.090,1.910,1.300,9.500,2.180,7.015
-1.510,12.930,-1.050,3.515,-1.415,1.885
10.795,-16.595,4.220,-10.115,1.815,-7.150
-12.410,-5.810,-6.495,-0.190,-2.575,0.820
-2.845,9.945,-1.135,1.980,-2.045,4.305
17.225,22.495,5.015,11.310,3.845,1.455
-13.660,-28.150,-5.995,-13.170,-3.385,-4.760
6.050,5.905,4.680,4.310,2.960,2.455
8.000,-1.390,3.150,-0.190,1.625,-0.090
